"index","net","x_mm","y_mm","paste_side","footprint","pad","population","via_outer_dia_mm","drill_dia_mm","annular_ring_mm","pad_size_mm","pad_net","barrel_overlap_mm","via_pad_overlap_mm","true_via_in_pad","classification"
"47","GND","23.9500","23.4000","F","U9","","DNP","0.55","0.25","0.1500","1.40x1.40","","0.1250","0.2750","yes","thermal/ground"
"48","Net-(U12-PG)","63.8500","49.4500","F","U12","14","FITTED","0.60","0.30","0.1500","0.24x0.60","Net-(U12-PG)","0.1200","0.2700","no","signal"
"49","/I2S_LRCLK","16.7000","35.5500","B","U1","33","FITTED","0.60","0.30","0.1500","1.50x0.90","/I2S_LRCLK","0.1000","0.2500","no","signal"
"50","GND","62.2500","141.7500","F","C16","2","FITTED","0.60","0.30","0.1500","0.90x0.95","GND","0.0850","0.2350","no","thermal/ground"
"51","GND","71.3500","12.3500","B","C8","2","FITTED","0.60","0.30","0.1500","0.90x0.95","GND","0.0750","0.2250","no","thermal/ground"
"52","GND","64.0500","153.5000","B","U7","12","FITTED","0.60","0.30","0.1500","1.80x0.90","GND","0.0500","0.2000","no","thermal/ground"
"53","GND","64.0500","139.5000","B","U7","11","FITTED","0.60","0.30","0.1500","1.80x0.90","GND","0.0500","0.2000","no","thermal/ground"
"54","+3V3","32.3500","78.4950","B","R26","1","FITTED","0.80","0.40","0.2000","0.80x0.95","+3V3","0.0415","0.2415","no","power"
"55","GND","54.0500","139.9500","B","U7","4","FITTED","0.60","0.30","0.1500","1.80x0.90","GND","0.0400","0.1900","no","thermal/ground"
"56","GND","49.6000","153.5000","B","U7","20","FITTED","0.60","0.30","0.1500","1.80x0.90","GND","0.0400","0.1900","no","thermal/ground"
"57","GND","64.5000","80.5000","F","U14","","FITTED","0.55","0.25","0.1500","0.34x0.62","","0.0328","0.1828","no","thermal/ground"
"58","GND","64.5000","80.5000","F","U14","","FITTED","0.55","0.25","0.1500","0.34x0.62","","0.0328","0.1828","no","thermal/ground"
"59","GND","64.5000","80.5000","F","U14","","FITTED","0.55","0.25","0.1500","0.34x0.62","","0.0328","0.1828","no","thermal/ground"
"60","GND","64.5000","80.5000","F","U14","","FITTED","0.55","0.25","0.1500","0.34x0.62","","0.0328","0.1828","no","thermal/ground"
"61","GND","11.6000","14.8000","B","C1","1","FITTED","0.60","0.30","0.1500","0.90x0.95","GND","0.0250","0.1750","no","thermal/ground"
"62","GND","67.2000","43.0000","F","R42","1","FITTED","0.60","0.30","0.1500","0.80x0.95","GND","0.0250","0.1750","no","thermal/ground"
